Primer,Condition,Location,Ct,Avg Ct Control,Avg Ct,dCt,ddCt,Fold Change,Ct Sd,SEM ddCT,Fold SEM
ANGPT2,Drug,Periphery,32.4346,34.3292,30.9237,-3.4055,4.8605,0.0344,1.4384,0.8305,0.0117
ANGPT2,Drug,Static,24.3594,37.4341,26.7980,-10.6361,-2.3701,5.1699,2.4793,1.4314,5.5209
ANGPT2,Drug,Static,26.7186,37.4341,26.7980,-10.6361,-2.3701,5.1699,2.4793,1.4314,5.5209
ANGPT2,Drug,Static,29.3160,37.4341,26.7980,-10.6361,-2.3701,5.1699,2.4793,1.4314,5.5209
AXIN2,Drug,Centre,26.1513,35.5642,26.9327,-8.6316,-0.8183,1.7634,0.9339,0.5392,0.2492
AXIN2,Drug,Centre,26.6798,35.5642,26.9327,-8.6316,-0.8183,1.7634,0.9339,0.5392,0.2492
AXIN2,Drug,Centre,27.9670,35.5642,26.9327,-8.6316,-0.8183,1.7634,0.9339,0.5392,0.2492
AXIN2,Drug,Periphery,26.5360,34.3292,28.6675,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Periphery,28.7830,34.3292,28.6675,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Periphery,30.6835,34.3292,28.6675,-5.6617,2.1516,0.2251,2.0762,1.1987,0.1645
AXIN2,Drug,Static,25.0724,37.4341,26.6969,-10.7373,-2.9240,7.5896,1.5044,0.8686,2.8351
AXIN2,Drug,Static,26.9760,37.4341,26.6969,-10.7373,-2.9240,7.5896,1.5044,0.8686,2.8351
AXIN2,Drug,Static,28.0422,37.4341,26.6969,-10.7373,-2.9240,7.5896,1.5044,0.8686,2.8351
THSB1,Drug,Centre,13.9023,35.5642,14.6635,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THSB1,Drug,Centre,14.4483,35.5642,14.6635,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THSB1,Drug,Centre,15.6399,35.5642,14.6635,-20.9007,-1.0302,2.0423,0.8886,0.5130,0.2610
THSB1,Drug,Periphery,14.5008,34.3292,15.6735,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THSB1,Drug,Periphery,15.1323,34.3292,15.6735,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THSB1,Drug,Periphery,17.3876,34.3292,15.6735,-18.6556,1.2149,0.4308,1.5176,0.8762,0.1639
THSB1,Drug,Static,12.9156,37.4341,13.5284,-23.9057,-4.0352,16.3953,0.7590,0.4382,1.5242
THSB1,Drug,Static,13.2923,37.4341,13.5284,-23.9057,-4.0352,16.3953,0.7590,0.4382,1.5242
THSB1,Drug,Static,14.3774,37.4341,13.5284,-23.9057,-4.0352,16.3953,0.7590,0.4382,1.5242
